Competitor,Product_Name,Price,Width_cm,Height_cm,Area_cm2,Price_per_Volume,Thickness_cm,product_category,Size_Info,Option1,Option2,Option3
아기,아기 폴더매트 140x300,139900.0,140,300,42000,33309.52380952381,0,폴더매트,140x300,02. 제로갭 매트,07. 일반 3단 140×300,03. 퓨어라이트그레이
아기,아기 폴더매트 140x300,139900.0,140,300,42000,33309.52380952381,0,폴더매트,140x300,02. 제로갭 매트,07. 일반 3단 140×300,04. 퓨어그레이
아기,아기 폴더매트 70x200,89900.0,70,200,14000,64214.28571428572,0,폴더매트,70x200,02. 제로갭 매트,08. 항균 2단 70×200,01. 퓨어라이트크림
아기,아기 폴더매트 70x200,89900.0,70,200,14000,64214.28571428572,0,폴더매트,70x200,02. 제로갭 매트,08. 항균 2단 70×200,02. 퓨어크림
아기,아기 폴더매트 70x200,89900.0,70,200,14000,64214.28571428572,0,폴더매트,70x200,02. 제로갭 매트,08. 항균 2단 70×200,03. 퓨어라이트그레이
아기,아기 폴더매트 70x200,89900.0,70,200,14000,64214.28571428572,0,폴더매트,70x200,02. 제로갭 매트,08. 항균 2단 70×200,04. 퓨어그레이
아기,아기 폴더매트 100x200,98900.0,100,200,20000,49450.0,0,폴더매트,100x200,02. 제로갭 매트,09. 항균 2단 100×200,01. 퓨어라이트크림
아기,아기 폴더매트 100x200,98900.0,100,200,20000,49450.0,0,폴더매트,100x200,02. 제로갭 매트,09. 항균 2단 100×200,02. 퓨어크림
아기,아기 폴더매트 100x200,98900.0,100,200,20000,49450.0,0,폴더매트,100x200,02. 제로갭 매트,09. 항균 2단 100×200,03. 퓨어라이트그레이
아기,아기 폴더매트 100x200,98900.0,100,200,20000,49450.0,0,폴더매트,100x200,02. 제로갭 매트,09. 항균 2단 100×200,04. 퓨어그레이
아기,아기 폴더매트 120x200,105900.0,120,200,24000,44125.0,0,폴더매트,120x200,02. 제로갭 매트,10. 항균 2단 120×200,01. 퓨어라이트크림
아기,아기 폴더매트 120x200,105900.0,120,200,24000,44125.0,0,폴더매트,120x200,02. 제로갭 매트,10. 항균 2단 120×200,02. 퓨어크림
아기,아기 폴더매트 120x200,105900.0,120,200,24000,44125.0,0,폴더매트,120x200,02. 제로갭 매트,10. 항균 2단 120×200,03. 퓨어라이트그레이
아기,아기 폴더매트 120x200,105900.0,120,200,24000,44125.0,0,폴더매트,120x200,02. 제로갭 매트,10. 항균 2단 120×200,04. 퓨어그레이
아기,아기 폴더매트 140x200,115900.0,140,200,28000,41392.857142857145,0,폴더매트,140x200,02. 제로갭 매트,11. 항균 2단 140×200,01. 퓨어라이트크림
아기,아기 폴더매트 140x200,115900.0,140,200,28000,41392.857142857145,0,폴더매트,140x200,02. 제로갭 매트,11. 항균 2단 140×200,02. 퓨어크림
아기,아기 폴더매트 140x200,115900.0,140,200,28000,41392.857142857145,0,폴더매트,140x200,02. 제로갭 매트,11. 항균 2단 140×200,03. 퓨어라이트그레이
아기,아기 폴더매트 140x200,115900.0,140,200,28000,41392.857142857145,0,폴더매트,140x200,02. 제로갭 매트,11. 항균 2단 140×200,04. 퓨어그레이
아기,아기 폴더매트 100x300,136900.0,100,300,30000,45633.333333333336,0,폴더매트,100x300,02. 제로갭 매트,12. 항균 3단 100×300,01. 퓨어라이트크림
