평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"5","saga****","2025-07-12","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭110cm / 길이: 길이 50cm","안미끄럽고 두꺼워서 좋습니다","이미지 없음"
"5","saga****","2025-07-12","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭140cm / 길이: 길이 50cm","바닥에 모두 깔았는데 두껍고 안미끄러워서 좋네요","https://phinf.pstatic.net/checkout.phinf/20250712_208/1752299824884JzaA8_JPEG/image.jpg?type=f300_300"
"4","hjju*****","2025-07-12","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭140cm / 길이: 길이 50cm","생각보다 저렴해보입니다
광택이 있는 표면도 왠지 마음에 들진 않고 복도나 전체를 깔지않는다면 권하고싶지 않습니다","https://phinf.pstatic.net/checkout.phinf/20250712_134/1752285251828yB0Fe_JPEG/image.jpg?type=f300_300"
"5","skym*****","2025-07-12","색상: 아이보리우드 / 두께 / 폭: 두께1.4cm / 폭110cm / 길이: 길이 50cm","좋은 상품 많이 많이 파세요","https://phinf.pstatic.net/checkout.phinf/20250712_255/1752270129939RbK3y_JPEG/tmp_3100768335115287595.jpg?type=f300_300"
"5","skym*****","2025-07-12","색상: 아이보리우드 / 두께 / 폭: 두께1.4cm / 폭110cm / 길이: 길이 50cm","강아지 매트 강아지 신나게 잘돌아다니네요
부드러운 촉감이라 걷기도 편안하네요","https://phinf.pstatic.net/checkout.phinf/20250712_272/1752270079402IM8EB_JPEG/tmp_2788778071244029197.jpg?type=f300_300"
"5","dhkd********","2025-07-11","색상: 아이보리우드 / 두께 / 폭: 두께1.4cm / 폭140cm / 길이: 길이 50cm","강아지 다리가 불편했는데 이제 막 뛰어다닐정도로 호전됐네요 아주 맘에들어요","이미지 없음"
"5","dhkd********","2025-07-11","색상: 아이보리우드 / 두께 / 폭: 두께1.4cm / 폭110cm / 길이: 길이 50cm","강아지 다리가 아주 좋아진듯하네요 미끄럽지안고 촉감도좋네요","이미지 없음"
"5","viol*****","2025-07-11","색상: 아이보리우드 / 두께 / 폭: 두께1.4cm / 폭110cm / 길이: 길이 50cm","이 매트를 깔기전에는 강아지가 움직이지를 못했는데 지금은 맘껏  다닙니다.
운동할 때도 아주 유용하게 쓰입니다.
아주 만족합니다.","이미지 없음"
"4","mj****","2025-07-11","색상: 🧡NEW🧡 마블베이지 / 두께 / 폭: 두께1.4cm / 폭110cm / 길이: 길이 50cm","사진과같은점이맘에들고 1.4인데도 두께상당하네요","https://phinf.pstatic.net/checkout.phinf/20250711_149/1752208011400XXvLA_JPEG/1000019282.jpg?type=f300_300"
"5","ssu0***","2025-07-10","색상: 🏅BEST🏅 라이트베이지 / 두께 / 폭: 두께1.4cm / 폭150cm / 길이: 길이 50cm","1.4 두깨감이 생각했던거보다 꽤 두툼합니다.
컬러가 밝고 이뻐요~
노령견 두아이 키우면서  매트 구매해야지 하면서.. 선택에있어 고민 많았는데
이곳에서 구매하게 되었습니다.
아이들  미끄럼없이  잘 다니는거 보니 잘 사준것 같아요","https://phinf.pstatic.net/checkout.phinf/20250710_10/17521593058548XJ7Y_JPEG/1752159286754.jpg?type=f300_300"
"5","ssu0***","2025-07-10","색상: 🏅BEST🏅 라이트베이지 / 두께 / 폭: 두께1.4cm / 폭150cm / 길이: 길이 50cm","강아지 두마리 키우는 집입니다.
두아이다 노령견이다 보니 매트를 구매 해야지. 하면서 카페트를 깔고 지내다가 드디어 구매하게 되었습니다.
워낙에 종류가 많아 어디껄 구매해야하는 고민이 많았어요..
오래 여기저기 비교해보다 이곳에서 드디어 구매합니다. 퐁신퐁신 하니 좋으네요ㅎ","https://phinf.pstatic.net/checkout.phinf/20250710_23/1752159076177dDbRw_JPEG/1000029383.jpg?type=f300_300"
"5","hann******","2025-07-10","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭110cm / 길이: 길이 50cm","내구성도 좋고 금액도 합리적이에요.","이미지 없음"
"5","qlqk***","2025-07-10","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭110cm / 길이: 길이 50cm","강아지가 신나게 뛰어다녀요! 슬개골 지킴이 입니다! 다음에 또 이용할게요","https://phinf.pstatic.net/checkout.phinf/20250710_145/1752074213089t2AvM_JPEG/image.jpg?type=f300_300"
