평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"5","zlim***","2025-06-26","폭/길이: 135cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","매트 품질도 좋고, 미끄러지지않아 좋습니다","이미지 없음"
"5","dlqu*******","2025-06-26","폭/길이: 110cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","한달 이상 사용중인데 청소하기도 편하고 끝부분이 말린다는 후기가 있던데 저는 말리는거 없이 잘쓰고있습니다 강아지가 뛰어다녀도 미끄러지지않고 좋습니다 만족합니다","이미지 없음"
"5","ypk9****","2025-06-25","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","생각보다 좋아서 오늘 두개더시킵니다","https://phinf.pstatic.net/checkout.phinf/20250625_20/1750822822920OkL7W_JPEG/IMG_9108.jpeg?type=f300_300"
"5","hl****","2025-06-24","폭/길이: 135cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","좋믄제품 빠른 배송에 감사 드립니다 
사업 번창 하세요 최고예요","이미지 없음"
"5","gusu***","2025-06-23","폭/길이: 110cm폭/1M / 색상/두께: 심플크림/15mm(리뉴얼)","생각보다 폭신폭신하고 마음에 들어요","https://phinf.pstatic.net/checkout.phinf/20250623_283/1750679953058CC6Ml_JPEG/1750679908270.jpg?type=f300_300"
"5","daun*******","2025-06-22","폭/길이: 110cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","네번째 재구매 입니다! 그레이색이 없어졌네유.... 그래도 너무 좋아요","이미지 없음"
"5","sol3***","2025-06-19","폭/길이: 110cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","배송빠르고 좋습니다.","https://phinf.pstatic.net/checkout.phinf/20250619_235/1750292258450Js0bc_JPEG/1000022652.jpg?type=f300_300"
"5","sol3***","2025-06-19","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","소형견이라 슬개골 때문에 주문했는데 안미끄러져서 좋아하네요.만족합니다","https://phinf.pstatic.net/checkout.phinf/20250619_278/1750292222080TRSfJ_JPEG/1000022652.jpg?type=f300_300"
"5","cros********","2025-06-18","폭/길이: 110cm폭/1M / 색상/두께: 베이지테라조/15mm(리뉴얼)","지난번에 구매하고 폭신하고 튼튼해서 한번 더 구매했어요! 가격대가 좀 있지만 강아지가 뛸 때 확실히 덜 불안해여","https://phinf.pstatic.net/checkout.phinf/20250618_252/1750225103218DjN3C_JPEG/image.jpg?type=f300_300"
"3","sung*******","2025-06-16","폭/길이: 135cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","가나다라마바사아자차카타파하","이미지 없음"
"5","jung****","2025-06-15","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","더 좋아진 것 같아요. 사이즈도 딱 좋고 ㅎㅎ 감사합니다.","https://phinf.pstatic.net/checkout.phinf/20250615_268/1749975558038HU6g8_JPEG/1000025549.jpg?type=f300_300"
"5","jung****","2025-06-15","폭/길이: 110cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","더 퐁신퐁신해진 것 같아요 ㅋㅋ 좋아요!","https://phinf.pstatic.net/checkout.phinf/20250615_251/1749975523349uOVfO_JPEG/1000025549.jpg?type=f300_300"
"5","ysol****","2025-06-12","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","컬러 이쁘고 미끄러지지 않아요! 
하지만 무게있는 물건을 두면 자국이 쉽게 나고
원복하는시간이 며칠씩 걸려서 아쉽긴 해요~","https://phinf.pstatic.net/checkout.phinf/20250612_266/1749715435012jnIdp_JPEG/IMG_6979.jpeg?type=f300_300"
"5","bmwo******","2025-06-05","폭/길이: 110cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","부분으로 안깔린 부분이 있어서 샀어요
좋아요","이미지 없음"
"4","taeg*****","2025-06-05","폭/길이: 135cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","자취 시작하여 다른패턴으로 재구매했는데, 마블은 좀더 미끄러워요. 강아지가좀 미끄러워하는거같네오","이미지 없음"
"5","alsw*****","2025-06-04","폭/길이: 135cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","원래 쓰던 거라 추가 구매했는데 잘 쓰고 있어용","https://phinf.pstatic.net/checkout.phinf/20250604_221/1749029098764CXbAQ_JPEG/image.jpg?type=f300_300"
"5","whas***","2025-06-03","폭/길이: 135cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","하나 사고 맘에 들어서 추가구매했어요","https://phinf.pstatic.net/checkout.phinf/20250603_217/1748957513049PjDhx_JPEG/IMG_9952.jpeg?type=f300_300"
"5","whas***","2025-06-03","폭/길이: 135cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","강쥐가 잘 적응하네요 맘에들어요","https://phinf.pstatic.net/checkout.phinf/20250603_182/1748957480713dwSdt_JPEG/IMG_9951.jpeg?type=f300_300"
"5","gwon****","2025-06-03","폭/길이: 110cm폭/1M / 색상/두께: 심플크림/15mm(리뉴얼)","잘받았습니다. 많이 파세요","이미지 없음"
"4","gkdl*****","2025-06-02","폭/길이: 110cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","그냥 쓸만 허다고 보여집니다","https://phinf.pstatic.net/checkout.phinf/20250602_185/1748842757178hUe3I_JPEG/image.jpg?type=f300_300"
"4","gkdl*****","2025-06-02","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","그냥저냥 쓸맘은 합니다","https://phinf.pstatic.net/checkout.phinf/20250602_201/17488427238874PBfa_JPEG/image.jpg?type=f300_300"
"5","jjhm*****","2025-06-01","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/15mm(리뉴얼)","잘 사용하고 있어요 감사합니다❤️","https://phinf.pstatic.net/checkout.phinf/20250601_52/1748770186169F10jI_JPEG/image.jpg?type=f300_300"
"5","jjhm*****","2025-06-01","폭/길이: 110cm폭/1M / 색상/두께: 심플크림/15mm(리뉴얼)","좋아요, 잘 사용하고 있어요","https://phinf.pstatic.net/checkout.phinf/20250601_140/1748770146312qdtJA_JPEG/image.jpg?type=f300_300"
"4","jp****","2025-05-31","폭/길이: 110cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","좋아요 좋타요 좋타요","이미지 없음"
"4","jiye******","2025-05-31","폭/길이: 110cm폭/1M / 색상/두께: 마블화이트/15mm(리뉴얼)","미끄러지지않고 반려견 다리에 무리가 덜가서 좋아요","https://phinf.pstatic.net/checkout.phinf/20250531_188/1748673150196k6SRX_JPEG/1000093616.jpg?type=f300_300"
"4","jiye******","2025-05-31","폭/길이: 135cm폭/1M / 색상/두께: 마블화이트/15mm(리뉴얼)","미끄러지지않고 강아지 다리에 무리가 덜가서 좋아요","이미지 없음"
"5","appo***","2025-05-30","폭/길이: 110cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","2년동안 잘썼어요  새로 주문~ 일단 애들이 안 미끄러워서 해서좋아요~ 만족합니다","https://phinf.pstatic.net/checkout.phinf/20250530_159/1748568497196YpRYU_JPEG/20250529_102719.jpg?type=f300_300"
"5","jinj********","2025-05-28","폭/길이: 135cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","2개 한번에 주문해서 2m로 온 것 같은데 일단 한번 펴보고 다시 사용후기 남길께요","https://phinf.pstatic.net/checkout.phinf/20250528_289/17484435336766cnGP_JPEG/1000038585.jpg?type=f300_300"
"5","jinj********","2025-05-28","폭/길이: 110cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","2개 한번에 주문해서 2m로 온 것 같은데 일단 한번 펴보고 다시 사용후기 남길께요","https://phinf.pstatic.net/checkout.phinf/20250528_202/1748443516929cAoKW_JPEG/1000038585.jpg?type=f300_300"
"5","yoon*****","2025-05-28","폭/길이: 135cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","항상사용하던제품인데 조금 상해서 새로 구매해서 갈어줫는데 아이가 너무너무 좋아해요","https://phinf.pstatic.net/checkout.phinf/20250528_203/17484325154863z6LT_JPEG/20250528_204055.jpg?type=f300_300"
"5","ysol****","2025-05-27","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","컬러가 너무 밝지도 않고 오트밀? 약간 회색빛도 돌아서 만족합니다! 매트 밀리지도 않고 푹신해요!","https://phinf.pstatic.net/checkout.phinf/20250527_161/1748333349667x1FLb_JPEG/IMG_6979.jpeg?type=f300_300"
"5","ysol****","2025-05-27","폭/길이: 110cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","컬러가 너무 밝지도 않고 오트밀? 약간 회색빛도
돌아서 만족합니다! 매트 밀리지도 않고 푹신해요!","https://phinf.pstatic.net/checkout.phinf/20250527_153/1748333160186cx1uL_JPEG/IMG_6979.jpeg?type=f300_300"
"5","sjwe*****","2025-05-27","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/15mm(리뉴얼)","좋아요 부분 교체했어요","https://phinf.pstatic.net/checkout.phinf/20250527_180/1748301475305Oi5MY_JPEG/image.jpg?type=f300_300"
"5","zhff******","2025-05-24","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","다행히도 물어뜯거나하지않고 잘사용하니 기분이좋네요
집 전체에 깔아놨는데 미끄러워 하지도않고 관절 건강에 도움이 됐으면 좋겠습니다","https://phinf.pstatic.net/checkout.phinf/20250524_101/1748044090368ltJnN_JPEG/20250524_084535.jpg?type=f300_300"
"5","zhff******","2025-05-24","폭/길이: 110cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","다행히도 물어뜯거나하지않고 잘사용하니 기분이좋네요","https://phinf.pstatic.net/checkout.phinf/20250524_237/1748044035899AM9m6_JPEG/20250524_084535.jpg?type=f300_300"
"5","ense******","2025-05-23","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","거실에 깔고서 마음에 들어서 복도까지 까기위해  추가주문 했습니다","https://phinf.pstatic.net/checkout.phinf/20250523_127/1747962562095rynuy_JPEG/1747962485412.jpg?type=f300_300"
"5","sell****","2025-05-21","폭/길이: 110cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","애견패드에서 볼 일 보고 바닥을 디딜 때, 종종 미끄러져서 고민하다가 이 매트를 깔아줬어요. 진작 해 줄 걸 그랬어요!","https://phinf.pstatic.net/checkout.phinf/20250521_182/1747793137849cAUit_JPEG/image.jpg?type=f300_300"
"5","ense******","2025-05-20","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","모늗면에 만족합니다
다만, 크림색이 아이보리쯤 되는줄 알았는데
옥수수스프 색깔 입니다","이미지 없음"
"5","kkan********","2025-05-20","폭/길이: 135cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","잘  쓰고 있어요ㅋ","https://phinf.pstatic.net/checkout.phinf/20250520_6/1747701387205C2nGi_JPEG/17477013801139108262303085841175.jpg?type=f300_300"
"5","gusw******","2025-05-19","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","계단으로 다닐때 미끄러지지말라고 해줬어요","https://phinf.pstatic.net/checkout.phinf/20250519_68/1747662047470YKunG_JPEG/image.jpg?type=f300_300"
"3","oh****","2025-05-17","폭/길이: 135cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","냄새도안나고 폭신하고 너무좋습니다","https://phinf.pstatic.net/checkout.phinf/20250517_32/1747485134654XNruF_JPEG/1000008597.jpg?type=f300_300"
"5","hwan*******","2025-05-17","폭/길이: 110cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","쿠션 꺼짐이 없어서 오래 사용할것 같아요","https://phinf.pstatic.net/checkout.phinf/20250517_162/17474523701658C8KO_JPEG/1000006542.jpg?type=f300_300"
"5","ab****","2025-05-16","폭/길이: 110cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","베스트오브베스트 최고","이미지 없음"
"5","ab****","2025-05-16","폭/길이: 135cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","최고의
매트 입니다","이미지 없음"
"5","ab****","2025-05-16","폭/길이: 110cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","인생 매트 입 니다","이미지 없음"
"5","dldu******","2025-05-16","폭/길이: 110cm폭/1M / 색상/두께: 마블화이트/15mm(리뉴얼)","푹신하고색깔이이쁨니다","이미지 없음"
"3","oh****","2025-05-15","폭/길이: 110cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","폭신하고 좋습니다 생각한대로입니다 실물이 더예쁘네요","https://phinf.pstatic.net/checkout.phinf/20250515_285/1747311626488QQOME_JPEG/Resized_20250513_204624.jpeg?type=f300_300"
"3","oh****","2025-05-15","폭/길이: 135cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","무늬가있어서 더좋은거같아요 좋습니다","https://phinf.pstatic.net/checkout.phinf/20250515_14/1747311584422O9WBE_JPEG/Resized_20250513_204624.jpeg?type=f300_300"
"5","qorh*****","2025-05-15","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","감사합니다 많이파세요","이미지 없음"
"5","qorh*****","2025-05-15","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","감사합니다 많이파세요","이미지 없음"
"5","qorh*****","2025-05-15","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","감사합니다 많이파세요","이미지 없음"
"5","hh****","2025-05-14","폭/길이: 110cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","강아지때문에 구매했는데 확실히 덜미끄러져 다리가 무리가 덜가네요","이미지 없음"
"5","soar***","2025-05-13","폭/길이: 110cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","좋아요   만족합니다","이미지 없음"
"5","duck****","2025-05-13","폭/길이: 110cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","10미터 구매했어요 가격이 저렴한데 재질은 괜찮은것 같아여","https://phinf.pstatic.net/checkout.phinf/20250513_65/1747126471249RdiiF_JPEG/image.jpg?type=f300_300"
"5","kisc********","2025-05-11","폭/길이: 110cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","조아요조아요조아요조아요조아요","이미지 없음"
