평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"5","anna*****","2025-07-18","타입-색상: 롤매트-다크그레이 / 두 께: 1cm(10T) / 매트 - 폭x길이: 폭 110cm x 50cm","저번에 조금만 구매했다가 복도 전부 깔아주려고 추가 구매했어요","https://phinf.pstatic.net/checkout.phinf/20250718_165/1752840559652bkVdE_JPEG/20250718_210824.jpg?type=f300_300"
"5","ma****","2025-07-18","타입-색상: 롤매트-라이트그레이 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 110cm x 50cm","복도에 설치하였는데 우리 댕댕이가 좋아해요","이미지 없음"
"5","life*******","2025-07-18","타입-색상: 롤매트-아이보리 / 두 께: 1cm(10T) / 매트 - 폭x길이: 폭 135cm x 50cm","깔끔하고 견고합니다.","이미지 없음"
"5","life*******","2025-07-18","타입-색상: 롤매트-아이보리 / 두 께: 1cm(10T) / 매트 - 폭x길이: 폭 110cm x 50cm","단단하고 만족스럽습니다","이미지 없음"
"5","boh0***","2025-07-18","타입-색상: 롤매트-다크그레이 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 110cm x 50cm","운동용 매트로 재구매해봤어요. 유용해요.","https://phinf.pstatic.net/checkout.phinf/20250718_178/1752809142193L5ei7_JPEG/tmp_6348576011031608120.jpg?type=f300_300"
"4","ssmn****","2025-07-18","타입-색상: 롤매트-라이트그레이 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 135cm x 50cm","사용하던 매트가 낡기도 해서 .. 주문한 색상이랑 다른게 오긴했는데..좋네요","https://phinf.pstatic.net/checkout.phinf/20250718_119/1752797797842iKcDg_JPEG/1752797773570.jpg?type=f300_300"
"5","maji*****","2025-07-17","타입-색상: 롤매트-아이보리 / 두 께: 1cm(10T) / 매트 - 폭x길이: 폭 110cm x 50cm","13살 강쥐가 미끄러울까봐 구매했습니다","이미지 없음"
"5","dbsg*****","2025-07-16","타입-색상: 롤매트-다크그레이 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 135cm x 50cm","사보고 괜찮아서 추가 주문했슺니다","https://phinf.pstatic.net/checkout.phinf/20250716_115/1752662600605slVnR_JPEG/IMG_9165.jpeg?type=f300_300"
"4","ys****","2025-07-16","타입-색상: 롤매트-라이트그레이 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 135cm x 50cm","정사이즈이고 내구성 튼튼해요.","https://phinf.pstatic.net/checkout.phinf/20250716_47/1752627001718H06mm_JPEG/EBA7A4ED8AB81.JPG?type=f300_300"
"5","ys****","2025-07-16","타입-색상: 롤매트-라이트그레이 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 110cm x 50cm","디자인 보는댈호 그대로입니다. 정사이즈이며 내구성,복원 튼튼해요","https://phinf.pstatic.net/checkout.phinf/20250716_228/1752626971551ErU3G_JPEG/EBA7A4ED8AB81.JPG?type=f300_300"
"5","jihy*****","2025-07-16","타입-색상: 롤매트-아이보리 / 두 께: 1cm(10T) / 매트 - 폭x길이: 폭 135cm x 50cm","뛰고 뒹굴고 
다른것 써받는데 결국 이제품으로 복귀했습니다","이미지 없음"
"5","kkdd******","2025-07-15","타입-색상: 롤매트-라이트그레이 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 110cm x 50cm","한달사용후 튼튼하고 좋아요
그러나 얼룩이 묻으면 바로 안닦으면 안지워져서 이게 좀 아쉬워요","https://phinf.pstatic.net/checkout.phinf/20250715_181/1752577575423cwwwC_JPEG/1752577557392.jpg?type=f300_300"
"4","ts****","2025-07-15","타입-색상: 롤매트-다크그레이 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 110cm x 50cm","빠른 배송 감사합니다","이미지 없음"
"5","arie****","2025-07-14","타입-색상: 롤매트-다크그레이 / 두 께: 1cm(10T) / 매트 - 폭x길이: 폭 135cm x 50cm","강아지가 미끄럽지않게 잘 쓰고 있어요","이미지 없음"
"4","wlsg*******","2025-07-14","타입-색상: 롤매트-아이보리 / 두 께: 1cm(10T) / 매트 - 폭x길이: 폭 135cm x 50cm","계속 쓰던 상품입니다","https://phinf.pstatic.net/checkout.phinf/20250714_263/1752490909647d2x93_JPEG/IMG_8548.jpeg?type=f300_300"
"5","seay*******","2025-07-14","타입-색상: 롤매트-라이트그레이 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 110cm x 50cm","10살 울 강쥐  다리에 힘이  떨어지는거 같아 구매했는데 이제는  뛰기까지 하네요.","https://phinf.pstatic.net/checkout.phinf/20250714_240/17524902367959v7ip_JPEG/1000015139.jpg?type=f300_300"
"5","seay*******","2025-07-14","타입-색상: 롤매트-라이트그레이 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 135cm x 50cm","울 강쥐 허리디스크가 살짝  있다고해서 구매했어요. 확실히 안정감 있게 잘 걷네요.","https://phinf.pstatic.net/checkout.phinf/20250714_21/1752490154814hSc2f_JPEG/1000015139.jpg?type=f300_300"
"4","blak****","2025-07-13","타입-색상: 롤매트-아이보리 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 110cm x 50cm","침대에 계단을 두긴 했는데도 한번씩 뛰어내릴때가 있어서 침대 밑에 두기 딱인 정도로 푹신합니다 복원력도 나쁘지 않습니다","https://phinf.pstatic.net/checkout.phinf/20250713_123/1752396710956puRtn_JPEG/image.jpg?type=f300_300"
