평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"5","spee*****","2025-07-13","디자인 선택: 비글퍼피 / 두께(폭): 9mm(폭125cm) / 길이(수량추가): 50cm","베이지색계열은 보통 때가 금방 타기 마련이라 좀 꺼려지긴 하는데 이건 잘 닦이고 먼지도
잘보여서 돌돌이로 한번만 쓰~윽 하면 없어져서 청소도 편하네요~","https://phinf.pstatic.net/checkout.phinf/20250713_22/1752336445326cY2SK_JPEG/1752336423636.jpg?type=f300_300"
"5","spee*****","2025-07-13","디자인 선택: 그레이캔버스 / 두께(폭): 9mm(폭140cm) / 길이(수량추가): 50cm","예전에 거실한쪽에 깔아서 잘 썼던 기억에 
재구매해서 방에 깔았는데 너무 어두워서
그거빼곤 폭신하고 좋아요 거실은 좀 밝은 색
으로 깔아보려고요","https://phinf.pstatic.net/checkout.phinf/20250713_170/1752335749462yslgn_JPEG/1752335738502.jpg?type=f300_300"
"5","jinh*****","2025-07-12","디자인 선택: 마블아이보리 / 두께(폭): 9mm(폭110cm) / 길이(수량추가): 50cm","——————-good","이미지 없음"
"5","jinh*****","2025-07-12","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","——————-good","이미지 없음"
"5","sjrn*****","2025-07-10","디자인 선택: 도그프린트 / 두께(폭): 9mm(폭125cm) / 길이(수량추가): 50cm","머 재구매에요👍🏻 전에 거실에 두려고 구매햌ㅅ는데 패드에 방수도 되고 너뮤 죠아여 담에 더 크게 사명 좋을거같아여","https://phinf.pstatic.net/checkout.phinf/20250710_12/1752152443395HmG9j_JPEG/IMG_7091.jpeg?type=f300_300"
"5","ss****","2025-07-10","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","강아지랑 아이가있어서 해놓으니 좋네요!","https://phinf.pstatic.net/checkout.phinf/20250710_30/1752117712119Fhs7M_PNG/IMG_7256.png?type=f300_300"
"5","pa****","2025-07-10","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭125cm) / 길이(수량추가): 50cm","필요할 때 깔아주려고 작은사이즈 구입했는데 좋습니다~","https://phinf.pstatic.net/checkout.phinf/20250710_225/1752111765067LUSVX_JPEG/20250710_104139.jpg?type=f300_300"
"5","cndt*****","2025-07-10","디자인 선택: 마블아이보리 / 두께(폭): 9mm(폭110cm) / 길이(수량추가): 50cm","맘에들어요
두께도 딱이고 더 주문해서 깔아 주어야겠어요","https://phinf.pstatic.net/checkout.phinf/20250710_206/1752101446554LS1Sg_JPEG/1752101436469.jpg?type=f300_300"
"5","cndt*****","2025-07-10","디자인 선택: 마블아이보리 / 두께(폭): 9mm(폭110cm) / 길이(수량추가): 50cm","미끄럼방지 차 바닥에 깔아두니 좋네요
강아지 미끄러지지 않아서 맘편해요
잘 닦이고  색상도 환해서 맘에 듭니다","https://phinf.pstatic.net/checkout.phinf/20250710_49/1752101378717nuqpq_JPEG/1752101368634.jpg?type=f300_300"
"4","heli****","2025-07-09","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭140cm) / 길이(수량추가): 50cm","청소기 이동이 쉽지 않아서 별 하나 빼요","이미지 없음"
