평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"5","hh****","2025-07-17","타입/색상: 방방퍼즐-옐로우 / 사이즈: 100x100x3cm (1장)","상품설명그대로입니다.
좋은 물건 많이 파세요","이미지 없음"
"5","jy****","2025-07-16","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","색깔을  잘못  주문했네요..ㅠ.ㅠ   그래도  포인트로  생각 할려구요.","https://phinf.pstatic.net/checkout.phinf/20250716_109/1752639547156eok6b_JPEG/1752639532417.jpg?type=f300_300"
"5","smi1***","2025-07-16","타입/색상: 방방퍼즐-그레이 / 사이즈: 100x100x3cm (1장)","사용잘하고있습니다.","https://phinf.pstatic.net/checkout.phinf/20250716_38/1752623711764h0Avx_JPEG/KakaoTalk_20230308_095604000.jpg?type=f300_300"
"3","craz*******","2025-07-15","타입/색상: 방방퍼즐-코코넛베이지 / 사이즈: 50x50x3cm (4장)","가성비는 괜찮은데 테두리가 있어서 생각보다 공간에 맞게 커팅하는게 어렵고 맨발로 다닐때 표면과 만나는 소리가 좀 납니다.","이미지 없음"
"5","dusl***","2025-07-12","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","두께도 탄탄해서 아이가 놀기 좋아요 다만 쩍쩍소리가 좀 많이 납니다 ㅠㅠ","https://phinf.pstatic.net/checkout.phinf/20250712_196/1752321982093kxNy8_JPEG/KakaoTalk_20250712_210613749.jpg?type=f300_300"
"5","roek****","2025-07-11","타입/색상: 방방퍼즐-크림 / 사이즈: 50x50x3cm (4장)","배송도빠르고 제품 포장도 깔끔하게 왔습니다.쿠션감도 적당하고 맘에듭니다.","이미지 없음"
"5","oran*******","2025-07-11","타입/색상: 🧡NEW🧡 탄탄퍼즐-퓨어화이트 / 사이즈: 100x100x4cm (1장)","사이드부분 부족해서 추가로 구매해서 잘라썼는데
잘 잘리고 너무좋아요ㅜㅜㅜ
아쉬운점은 탄탄퍼즐 4cm도  50×50이 있었으면 좋겠더라구요ㅠ 제품은 완전 최고입니다~~^^","https://phinf.pstatic.net/checkout.phinf/20250711_219/1752206876063eljBs_JPEG/1752206861105.jpg?type=f300_300"
"5","oran*******","2025-07-11","타입/색상: 🧡NEW🧡 탄탄퍼즐-퓨어화이트 / 사이즈: 100x100x4cm (1장)","층간소음때문에 무조건 깔아야겠다 생각했는데
티지오꺼 이전에도 쓰다가 이번에 퍼즐로 깔았는데 너무좋네요~~!! 여자아이들이라도 발망치 어마어마해서ㅠ
4cm로 하니 마음 놓여요^^ 화이트라 화사하고 좋아요!!","https://phinf.pstatic.net/checkout.phinf/20250711_48/1752206320712bs79c_JPEG/1000076644.jpg?type=f300_300"
"5","smi1***","2025-07-11","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","사용잘하고있습니다.","https://phinf.pstatic.net/checkout.phinf/20250711_45/1752196977788nS7CK_JPEG/KakaoTalk_20230308_095604000.jpg?type=f300_300"
"5","asas****","2025-07-10","타입/색상: 우다다퍼즐-라이트베이지 / 사이즈: 50x50x3.4cm (4장)","아이가 넘어져도 안심됩니다","https://phinf.pstatic.net/checkout.phinf/20250710_171/1752146344510PUCPl_JPEG/IMG_5703.jpeg?type=f300_300"
"5","dltm*******","2025-07-10","타입/색상: 우다다퍼즐-라이트베이지 / 사이즈: 100x100x3.4cm (1장)","푹신하고 두껍고 좋아요","https://phinf.pstatic.net/checkout.phinf/20250710_153/17521358203092N6r7_JPEG/1752135809868.jpg?type=f300_300"
"5","zlxl****","2025-07-09","타입/색상: 방방퍼즐-크림 / 사이즈: 50x50x3cm (4장)","재구매의사있습니다.
좋은 상품 판매해주셔서 감사드립니다.","https://phinf.pstatic.net/checkout.phinf/20250709_200/1752068278770Volf8_JPEG/1000042585.jpg?type=f300_300"
"5","kjt0*****","2025-07-09","타입/색상: 🧡NEW🧡 탄탄퍼즐-바닐라베이지 / 사이즈: 100x100x2.5cm (1장)","생각보다 딱딱하지만 애기가 실수로 낙서해도 잘지워질 재질입니다
층간소음은 확실히 잡힙니다","https://phinf.pstatic.net/checkout.phinf/20250709_109/1752067930447k2LqV_JPEG/1699.jpg?type=f300_300"
"5","nt_3***","2025-07-09","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","좋아요 가성비 굿굿","https://phinf.pstatic.net/checkout.phinf/20250709_270/1752048442213XxaAp_JPEG/IMG_7702.jpeg?type=f300_300"
"5","nt_3***","2025-07-09","타입/색상: 방방퍼즐-그레이 / 사이즈: 100x100x3cm (1장)","좋아요 배송도 굿ㅎㅎ","https://phinf.pstatic.net/checkout.phinf/20250709_255/1752048412417QiExf_JPEG/IMG_7702.jpeg?type=f300_300"
"5","kidp*****","2025-07-09","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","리클라이너 밑에 넣어놨는데
정말 좋습니다!!","https://phinf.pstatic.net/checkout.phinf/20250709_274/1752034449994f0rrK_JPEG/IMG_9292.jpeg?type=f300_300"
"5","oyse****","2025-07-09","타입/색상: 방방퍼즐-그레이 / 사이즈: 100x100x3cm (1장)","놀이방에 깔기좋습니다 ㅎㅎ","https://phinf.pstatic.net/checkout.phinf/20250709_26/1752023115477yqlg0_JPEG/1000013421.jpg?type=f300_300"
"5","oyse****","2025-07-09","타입/색상: 방방퍼즐-그레이 / 사이즈: 100x100x3cm (1장)","푹신하고 놀이방에 가성비있게 깔기좋습니다!","https://phinf.pstatic.net/checkout.phinf/20250709_223/1752023085251RvRyX_JPEG/1000013421.jpg?type=f300_300"
"5","c4****","2025-07-09","타입/색상: 방방퍼즐-그레이 / 사이즈: 50x50x3cm (4장)","추가 배송비가 있어서 좀 아쉽긴한데 https://shopping.naver.com/popup/reviews/form?orderNo=2025070155722041&productOrderNos=2025070129475441&returnUrl=https%3A%2F%2Forders.pay.naver.com%2Forder%2FpurchaseDecision%2Fbridge%2FreviewCompleted%2Fsuccess#","https://phinf.pstatic.net/checkout.phinf/20250709_251/1751988082786o9kGK_JPEG/EB8BA4EC9AB4EBA19CEB939C20%282%29.jpg?type=f300_300"
"5","c4****","2025-07-09","타입/색상: 방방퍼즐-코코넛베이지 / 사이즈: 50x50x3cm (4장)","추가 배송비가 있어서 좀 아쉽긴한데","https://phinf.pstatic.net/checkout.phinf/20250709_178/1751988071920wv9U0_JPEG/EB8BA4EC9AB4EBA19CEB939C20%282%29.jpg?type=f300_300"
"5","dana*****","2025-07-08","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","강아지가 침대에서 내려갈 때 미끄러지지 않도록 구매했어요. 그 전에 쓰던 요가매트보다 크기가 커서 마음에 들어요","https://phinf.pstatic.net/checkout.phinf/20250708_190/1751949367385kj5x6_JPEG/image.jpg?type=f300_300"
"5","jung*****","2025-07-07","타입/색상: 방방퍼즐-그레이 / 사이즈: 50x50x3cm (4장)","이상없이 잘 사용하고 있습니다.","이미지 없음"
"5","geon*******","2025-07-06","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","뭐 걍그래요 매트치고 엄청 싼거지만 딱 그만큼입니다ㅠ 돈주고 좋은거 하세요","https://phinf.pstatic.net/checkout.phinf/20250706_45/1751792824640QzDzv_JPEG/1751792815602.jpg?type=f300_300"
"5","geon*******","2025-07-06","타입/색상: 방방퍼즐-크림 / 사이즈: 50x50x3cm (4장)","11장 시켰는데 배송비 4만원이 넘네요ㅋㅋㅋ 배송오고 걍 롤매트할껄 후회했어요ㅠ 쩍쩍소리 알고산건데 애 잘때 너무 신경쓰이고ㅠㅠ 내구성도 너무 약해요 뭐 암것도 안했는데 찍혀있고.. 이사가기전까지는 쓰겠지만 다시는 안할듯요ㅠ 걍롤매트하세요..ㅋㅋㅋ","https://phinf.pstatic.net/checkout.phinf/20250706_39/1751792665823S6pdS_JPEG/1751792640222.jpg?type=f300_300"
"5","skyo*******","2025-07-06","타입/색상: 🧡NEW🧡 탄탄퍼즐-샌드베이지 / 사이즈: 100x100x2.5cm (1장)","타지오매트 방방 퍼즐매트 솔직 리뷰 (탄탄 퍼즐매트, 샌드베이지)

이번에 타지오매트 방방 퍼즐매트 (탄탄 퍼즐매트)를 샌드베이지 색상으로 구매했습니다.

제가 선택한 사이즈는 100×100×2.5cm입니다.

사실 2.5cm 두께라서 로봇청소기가 올라갈 수 있을 거라 기대했는데, 아쉽게도 제 로봇청소기는 못 올라가네요.

집 전체 시공은 부담스러워서 거실 일부 구역에만 설치했어요.

✔️ 좋았던 점:
가장 놀랐던 건 매트의 탄탄함과 품질이었습니다.

■ 뒷면 표면 처리가 정말 깔끔했어요.
■ 매트 겉 표면이 약간 우레탄 느낌으로 되어 있어서 웬만한 장난감을 찍어도 흠집이 잘 나지 않아요.
■ 타사 제품(알집 매트)과 비교해도 가격이 훨씬 합리적이고, 냄새도 전혀 없었습니다.

퍼즐 매트를 여러 번 구매해본 경험자로서, 이번 타지오매트는 정말 대.만.족! 가성비 퍼즐 매트 찾는 분들께 진심으로 추천드립니다.

✔️ 참고 사항:
■  로봇청소기 사용하실 분들은 매트 두께를 한번 더 고려하시면 좋을 것 같아요.","https://phinf.pstatic.net/checkout.phinf/20250706_249/1751732779364SFo7p_JPEG/2.jpg?type=f300_300"
"5","ep****","2025-07-05","타입/색상: 방방퍼즐-옐로우 / 사이즈: 100x100x3cm (1장)","정말 좋아요! 푹신하니 쿠션감도 좋아요","https://phinf.pstatic.net/checkout.phinf/20250705_175/1751701686900SWvIt_JPEG/1000041849.jpg?type=f300_300"
"4","07****","2025-07-04","타입/색상: 방방퍼즐-크림 / 사이즈: 50x50x3cm (4장)","냄새안나고 좋네요.","https://phinf.pstatic.net/checkout.phinf/20250704_169/17515964661140HaPq_JPEG/image.jpg?type=f300_300"
"5","smi1***","2025-07-04","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","사용잘하고있습니다.","https://phinf.pstatic.net/checkout.phinf/20250704_266/1751588328573cedP9_JPEG/KakaoTalk_20230308_095557130.jpg?type=f300_300"
"5","smi1***","2025-07-04","타입/색상: 방방퍼즐-그레이 / 사이즈: 100x100x3cm (1장)","사용잘하고있습니다.","https://phinf.pstatic.net/checkout.phinf/20250704_23/175158826122983Ihm_JPEG/KakaoTalk_20230308_095604000.jpg?type=f300_300"
"5","kbg0****","2025-07-03","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","아 너무 좋름 딱이에요 딱 굳굳","이미지 없음"
"4","a316****","2025-07-02","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","조립도 쉽고 좋습니다. 따로 쓸려니 미끄럼 방지가 조금 부족합니다.","이미지 없음"
"5","smi1***","2025-07-02","타입/색상: 방방퍼즐-그레이 / 사이즈: 50x50x3cm (4장)","사용잘하고있습니다.","https://phinf.pstatic.net/checkout.phinf/20250702_200/1751414849341zuQId_JPEG/KakaoTalk_20230308_095604000.jpg?type=f300_300"
"5","lhk8*****","2025-07-01","타입/색상: 방방퍼즐-그레이 / 사이즈: 50x50x3cm (4장)","땜방하기좋아요.티도안나고 낡은곳만 바꿔줘도되니 안정적인 환경유지에좋은것같습니다","https://phinf.pstatic.net/checkout.phinf/20250701_145/1751375116043lWfbW_JPEG/1000024098.jpg?type=f300_300"
"5","lhk8*****","2025-07-01","타입/색상: 방방퍼즐-크림 / 사이즈: 50x50x3cm (4장)","폴딩매트랑섞어쓰다가 버리고 땜방했어요.좋아요~","https://phinf.pstatic.net/checkout.phinf/20250701_120/1751375025983XeRkC_JPEG/1000024098.jpg?type=f300_300"
"5","byda*****","2025-06-30","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","배송도 빠르고 제품 설치도 편하게 했어요
21장 설치하는데 두명이서 2시간 정도 걸린것 같아요
처음에는 요령이 없어서 힘들었는데 이제 잘할 수 있다고 생각을 하니 설치가 끝나 있더라구요 
제품 특징은 명확합니다. 
퍼즐 형태이다 보니 설치가 편하고 부분 유지보수가 편한 부분이 있지만 단점아닌 단점은 연결부위가 일체형 처럼 깔끔할 수는 없다는 부분이네요 이걸 고려해서 본인에 맞는 제품을 선택하시면 좋을 듯 합니다.
가격대비 설치용이성 유지보수 등을 고려하면 매우 만족합니다.","https://phinf.pstatic.net/checkout.phinf/20250630_127/1751254112179wagmI_JPEG/KakaoTalk_20250625_134446844.jpg?type=f300_300"
"5","ghj9*****","2025-06-29","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","아기가 기어다녀서 시댁에 깔았는데 좋아요!","https://phinf.pstatic.net/checkout.phinf/20250629_70/1751196226159bCWP2_JPEG/IMG_1343.jpeg?type=f300_300"
"5","miyo****","2025-06-28","타입/색상: 우다다퍼즐-라이트베이지 / 사이즈: 50x50x3.4cm (4장)","좀 안맞긴 한데 매트는 좋아요.","https://phinf.pstatic.net/checkout.phinf/20250628_24/1751113195524tInmc_JPEG/1000027605.jpg?type=f300_300"
"5","dnwj*****","2025-06-27","타입/색상: 우다다퍼즐-마블스톤 / 사이즈: 50x50x3.4cm (4장)","고양이 키우면서 예전에 우다다 방지용으로 사고 캣휠 밑에 깔겸 이동식 에어컨 밑에도 깔겸해서 다시 구매하게 되었습니다 여전히 폭신하고 좋네요 무엇보다 밑에 습하게 올라오는것도 없어서 재구매 하게 된 부분이 큰것 같습니다","https://phinf.pstatic.net/checkout.phinf/20250627_191/1751020567450Ix6h5_JPEG/IMG_5557.jpeg?type=f300_300"
"5","mede***","2025-06-26","타입/색상: 방방퍼즐-그레이 / 사이즈: 100x100x3cm (1장)","보수가 필요한부분 재구매합니다","https://phinf.pstatic.net/checkout.phinf/20250626_278/1750935255069hEPmE_JPEG/1750935238275.jpg?type=f300_300"
"5","emma******","2025-06-26","타입/색상: 방방퍼즐-크림 / 사이즈: 50x50x3cm (4장)","재구매 했어요 좋습니다 ㅎㅎ","이미지 없음"
"5","msch****","2025-06-26","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","배송 빠릅니다.적극 추천 합니다.","이미지 없음"
"5","ypip****","2025-06-25","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","부드럽고푹신하고조아요","이미지 없음"
"5","addi*****","2025-06-25","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","저번에 매트 설치한 후 추가로 필요해서 재구매했는데 배송도 빠르고 좋아요","이미지 없음"
"5","addi*****","2025-06-25","타입/색상: 방방퍼즐-크림 / 사이즈: 50x50x3cm (4장)","기존에 매트 설치 후 추가로 더 필요해서 구매했는데 배송도 빠르고 좋아요","이미지 없음"
"5","smi1***","2025-06-25","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","사용잘하고있습니다.","https://phinf.pstatic.net/checkout.phinf/20250625_88/17508115559384aGNX_JPEG/KakaoTalk_20230308_095604000.jpg?type=f300_300"
"5","smi1***","2025-06-25","타입/색상: 방방퍼즐-그레이 / 사이즈: 100x100x3cm (1장)","사용잘하고있습니다.","https://phinf.pstatic.net/checkout.phinf/20250625_296/17508115395246tMNW_JPEG/KakaoTalk_20230308_095604000.jpg?type=f300_300"
"5","smi1***","2025-06-24","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","사용잘하고있습니다.","https://phinf.pstatic.net/checkout.phinf/20250624_3/1750723870279oqWh4_JPEG/KakaoTalk_20230308_095604000.jpg?type=f300_300"
"5","smi1***","2025-06-24","타입/색상: 방방퍼즐-그레이 / 사이즈: 100x100x3cm (1장)","사용잘하고있습니다.","https://phinf.pstatic.net/checkout.phinf/20250624_23/1750723851136xuBVk_JPEG/KakaoTalk_20230308_095604000.jpg?type=f300_300"
"5","leem******","2025-06-23","타입/색상: 🧡NEW🧡 탄탄퍼즐-샌드베이지 / 사이즈: 100x100x2.5cm (1장)","재구매할려구요 배성도 빠르고 좋아요","https://phinf.pstatic.net/checkout.phinf/20250623_36/17506602379557u1tT_JPEG/image.jpg?type=f300_300"
"5","poll***","2025-06-22","타입/색상: 🧡NEW🧡 탄탄퍼즐-바닐라베이지 / 사이즈: 100x100x2.5cm (1장)","제품 퀄리티가 생각보다 좋아서 만족스러워요.
가격 대비 만족도가 높아서 추천하고 싶어요.","https://phinf.pstatic.net/checkout.phinf/20250622_27/1750595371107OQ2Wt_JPEG/image.jpg?type=f300_300"
"5","poll***","2025-06-22","타입/색상: 🧡NEW🧡 탄탄퍼즐-모노그레이 / 사이즈: 100x100x2.5cm (1장)","제품 퀄리티가 생각보다 좋아서 만족스러워요.
가격 대비 만족도가 높아서 추천하고 싶어요.","https://phinf.pstatic.net/checkout.phinf/20250622_43/1750595339189qqLQO_JPEG/image.jpg?type=f300_300"
"4","alse*****","2025-06-21","타입/색상: 방방퍼즐-크림 / 사이즈: 50x50x3cm (4장)","두껍고 푹신해요. 배송도 빨랐고요.
가격 대비 너무 만족합니다.
다만,매트의 품질이 좋은건지는 모르겠습니다.
험하게 노는 아이는 아닌데 한달만에 네곳에서 다섯곳이 벗겨져있네요.. 쿠션감이나 두께, 사이즈도 만족해요.","https://phinf.pstatic.net/checkout.phinf/20250621_6/1750511894395m9DKM_JPEG/1750511867277.jpg?type=f300_300"
"5","naka******","2025-06-21","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","아주 만족한 제품입니다.
색상과 쿠션이 너무 좋아요.","이미지 없음"
"5","naka******","2025-06-21","타입/색상: 방방퍼즐-그레이 / 사이즈: 100x100x3cm (1장)","아주 훌륭한 제품입니다.
만족해요","이미지 없음"
"5","asas****","2025-06-20","타입/색상: 우다다퍼즐-라이트베이지 / 사이즈: 100x100x3.4cm (1장)","아이방에만 깔고 지내다가 걷기 시작하면서
복도랑 거실에도 깔아줬는데 좋네요","https://phinf.pstatic.net/checkout.phinf/20250620_210/1750415332836eiaJj_JPEG/IMG_5703.jpeg?type=f300_300"
"5","rain****","2025-06-20","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","오자마자 바로 설치했어요^^ 두툼하고좋네요.. 다만 금방 자국이 생기더라구요! 어쩌다 찍힌건지..ㅎ 내구성은 오래가진않을것같아요~ 그래도 뭐 가성비 좋은거같아요","https://phinf.pstatic.net/checkout.phinf/20250620_270/1750408784074zVnA1_JPEG/1000030519.jpg?type=f300_300"
